track_width [mm],Freq [GHz],"dB(S(2,1)) []",Loss / cm,
0.2185,46,-0.517095108,0.517095108,
0.2185,46.125,-0.518212042,0.518212042,
0.2185,46.25,-0.519331141,0.519331141,
0.2185,46.375,-0.520451028,0.520451028,
0.2185,46.5,-0.521570321,0.521570321,
0.2185,46.625,-0.522687646,0.522687646,
0.2185,46.75,-0.523801653,0.523801653,
0.2185,46.875,-0.524911016,0.524911016,
0.2185,47,-0.526014451,0.526014451,
0.2185,47.125,-0.527110721,0.527110721,
0.2185,47.25,-0.528198647,0.528198647,
0.2185,47.375,-0.529277112,0.529277112,
0.2185,47.5,-0.530345076,0.530345076,
0.2185,47.625,-0.531401575,0.531401575,
0.2185,47.75,-0.532445737,0.532445737,
0.2185,47.875,-0.533476782,0.533476782,
0.2185,48,-0.534494034,0.534494034,
0.2185,48.125,-0.535496924,0.535496924,
0.2185,48.25,-0.536484997,0.536484997,
0.2185,48.375,-0.53745792,0.53745792,
0.2185,48.5,-0.538415483,0.538415483,
0.2185,48.625,-0.539357608,0.539357608,
0.2185,48.75,-0.540284346,0.540284346,
0.2185,48.875,-0.541195887,0.541195887,
0.2185,49,-0.542092553,0.542092553,
0.2185,49.125,-0.542974801,0.542974801,
0.2185,49.25,-0.543843219,0.543843219,
0.2185,49.375,-0.544698517,0.544698517,
0.2185,49.5,-0.545541521,0.545541521,
0.2185,49.625,-0.546373158,0.546373158,
0.2185,49.75,-0.547194439,0.547194439,
0.2185,49.875,-0.548006446,0.548006446,
0.2185,50,-0.548810299,0.548810299,0.069810299
